0.0s - 1.5s: 最近有不少朋友
227.1s - 229.8s: 居然我们沿着这全新的生命周期
229.8s - 231.5s: 一环一环的跳进
231.5s - 234.3s: 开发者最日常的场景里去看看
234.3s - 235.8s: 到底发生了什么
235.8s - 237.0s: 让我们先来看第一环
237.0s - 237.6s: 生成
237.6s - 238.3s: 也就是我们
238.3s - 240.2s: 如何构建上下文
240.2s - 241.9s: 回到你每天的工作日常
241.9s - 242.8s: 现在的你
242.8s - 244.8s: 是不是还在每天对着对话框
244.8s - 247.9s: 手动输入各种一次性的提示词呢
247.9s - 250.9s: 这种原始的手工缩放式的输入方式
250.9s - 252.7s: 正在被迅速淘汰
252.7s - 254.6s: 那取而代之的是什么呢
254.6s - 256.8s: 是那种高度结构化的
256.8s - 258.8s: 可复用的指令文件
258.8s - 262.2s: 比如现在很多前沿开发者的工作目录下
262.2s - 265.7s: 都会静静的躺着一个叫做AgentMD的文件
265.7s - 268.3s: 或者封装好的一系列AI技能包
268.3s - 269.6s: 但是听到这里
269.6s - 273.5s: 很多老派程序员肯定会提出一个非常敏锐的质疑
273.5s - 274.1s: 等等
274.1s - 275.6s: 让我在那个MD文件里
275.6s - 278.1s: 用自然语言写一份毫无破绽
278.1s - 279.6s: 逻辑严密的规范吗
279.6s - 282.8s: 这难道不比我直接上手用Python敲代码
282.8s - 284.0s: 还要费事吗
284.0s - 287.4s: 我洋洋洒洒写几千字去教AI做事
287.4s - 290.4s: 我们这么做真的还在提高效率吗
290.4s - 292.5s: 这个问题表面上看
292.5s - 296.4s: 写极其详尽的自然语言规范确实很费事
296.4s - 298.3s: 但你得换个维度去思考
298.3s - 300.6s: 这种基于上下文的规范
300.6s - 302.8s: 解决的是传统硬编码
302.8s - 305.3s: 根本无法处理的动态复杂性
305.3s - 308.0s: 让我给你举个具体的不能再具体
308.0s - 310.6s: 甚至可以说是极其折磨人的例子
310.6s - 314.0s: 新开发者入职时的本地环境配置
314.0s - 316.2s: 如果带新人经验的朋友都知道
316.2s - 319.0s: 那简直就是一场灾难绝对的噩梦
319.0s - 321.2s: 过去如果你作为一个技术leader
321.2s - 323.9s: 想要用Python或者Node.js
323.9s - 326.3s: 写一个自动化的打包配置脚本
326.3s - 327.8s: 你需要硬编码
327.8s - 329.5s: 无数种编解情况
329.5s - 332.2s: 例如这位新人用的是MacM芯片
332.2s - 333.5s: 还是英特尔芯片
333.5s - 335.7s: 还是说是Windows系统
335.7s - 338.9s: 如果是旧版本的依赖包冲突了怎么办
338.9s - 341.6s: 环境变量没配好怎么排查
341.6s - 343.4s: 光是处理这些乱七八糟的
343.4s - 345.2s: 依赖数和系统差异
345.2s - 347.4s: 就能让写脚本的人崩溃
347.4s - 350.2s: 这种硬编码的脚本极其脆弱
350.2s - 352.7s: 稍微换环境就直接报错
352.7s - 356.0s: 但现在在CDLC的视角下
356.0s - 357.6s: 如果你把它转换成
357.6s - 359.1s: 一项AI技能
359.1s - 361.4s: 你不再需要写死任何一行代码
361.4s - 363.4s: 你只需要在agentMD里
363.4s - 366.1s: 提供一种动态的上下文指令
366.1s - 367.4s: 你可以这样告诉AI
367.4s - 369.0s: 第一步去检查
369.0s - 371.4s: 当前用户的包管理器是什么
371.4s - 374.2s: 第二步理清他们当前的系统生态
374.2s - 377.2s: 第三步根据你实时收集到的信息
377.2s - 380.5s: 引导用户一步步完成正确的配置
380.5s - 381.5s: 听明白了吗
381.5s - 384.1s: 你让AI自己去查看系统
384.1s - 386.2s: 这就叫做基于规范的开发
386.2s - 387.6s: 你让AI代理自己去把
387.6s - 390.7s: 规范拆解成当下的执行计划
390.7s - 393.8s: 从而完美避开了传统硬编码那种
393.8s - 395.6s: 一触即溃的脆弱性
395.6s - 398.9s: 等于说我们是在教AI如何去解决问题
398.9s - 403.0s: 而不是给它硬塞一张死板的过时的操作清单
403.0s - 404.9s: 不过我们要面对现实
404.9s - 406.4s: 要让AI不犯傻
406.4s - 408.6s: 单靠你在文件里写的几句指令
408.6s - 410.1s: 肯定是不够的
410.1s - 412.4s: 这就引出了生成环节中
412.4s - 414.2s: 极其迷人的一个黑科技
414.2s - 415.0s: MCP
415.0s - 417.6s: 也就是模型上下文协议
417.6s - 419.8s: 你可以把MCP本质上理解为
419.8s - 423.4s: 给AI装上了一个标准化的万能插头
423.4s - 424.9s: 为什么需要这个插头呢
424.9s - 427.2s: 因为AI有一个致命痛点
427.2s - 429.1s: 极容易产生幻觉
429.1s - 432.4s: 比如你让它调用一个前端组件库
432.4s - 435.4s: 可它的训练数据可能停留在两年前
435.4s - 439.7s: 它根本不知道这个库上个月已经升级到V3版本了
439.7s - 442.2s: 结果它理直气壮的按照VR版本
442.2s - 444.0s: 生成了一大堆代码
444.0s - 445.0s: 全错
445.0s - 446.0s: 然后你作为人类
446.0s - 447.6s: 还得苦哈哈的花半天
447.6s - 450.1s: 时间去排查报错原因
450.1s - 452.4s: 但有了MCP这个万能插头之后
452.4s - 454.0s: 情况彻底改变了
454.0s - 455.3s: AI可以通过插头
455.3s - 457.9s: 实时连接到你们公司的Gitlab
457.9s - 460.2s: 去拉取最新的提交记录
460.2s - 461.4s: 去连接到Slack
461.4s - 463.6s: 看同事们刚刚讨论了什么
463.6s - 465.0s: 去连接到Jira
465.0s - 467.6s: 读取你正在处理的公单详情
467.6s - 471.3s: 甚至实时去拉取官网最新的V3版本文档
471.3s - 473.7s: 它强制AI必须基于最新
473.7s - 476.4s: 最真实的外部事实去生成代码
476.4s - 477.2s: 这才是
477.2s - 480.1s: 高质量上下文燃料的基石
480.1s - 481.7s: 这听起来就像是我们
481.7s - 485.2s: 不再自己去踩油门和转方向盘了
485.2s - 486.8s: 而是给自动驾驶系统
486.8s - 490.2s: 输入了一份极其详细的形成规划书
490.2s - 494.0s: 同时还给它连上了实时的卫星路况数据
494.0s - 495.0s: 在这个环节里
495.0s - 496.9s: 还有一个非常有意思的趣闻
496.9s - 499.0s: 前面提到的DevOps dev
499.0s - 500.2s: Patrick Dev
500.2s - 502.3s: 他居然在演讲里承认
502.3s - 504.8s: 自己至今打字都很烂
504.8s - 507.2s: 是一个只会用两根手指敲击的
507.2s - 509.0s: 二指缠键盘手
509.0s - 511.2s: 但这反而带来了一个
511.2s - 513.6s: 关于人精交互的深刻洞察
513.6s - 514.9s: 正因为他打字慢
514.9s - 517.4s: 所以他开始极其依赖用语音
517.4s - 519.2s: 去向AI输入指令
519.2s - 520.6s: 结果他惊讶的发现
520.6s - 521.9s: 人在说话的时候
521.9s - 524.6s: 潜意识里会比枯燥的敲击键盘
524.6s - 528.2s: 提供更丰富更连贯的上下文信息
528.2s - 531.2s: 人的思维本来就是跳跃但连贯的
531.2s - 533.1s: 加上语音中自带的丰富度
533.1s - 536.5s: 反而产生了质量高得多的上下文燃料
536.5s - 537.1s: 原来
537.1s - 541.0s: 二指缠反而逼出了更详尽的语音上下文
541.0s - 541.5s: 好了
541.5s - 543.1s: 我们现在已经生成了一份
543.1s - 545.3s: 看似完美的行程规划书
545.3s - 547.6s: 但是这里才是真正有趣
547.6s - 549.3s: 并且致命的地方
549.3s - 552.5s: 如果我在那份给自动驾驶系统的规划书里
552.5s - 555.0s: 随手加了一句极其模糊的描述
555.0s - 556.9s: 比如尽量走捷径
556.9s - 558.5s: 难道我们就直接闭着眼睛
558.5s - 560.4s: 喊一句互联网是流行的YOLO
560.4s - 562.7s: 然后直接让这辆车冲上马路
562.7s - 566.4s: 并且盲目相信它绝对不会开进河里吗
566.4s - 567.5s: 绝对不行
567.5s - 570.4s: 这就是为什么当上下文取代了代码
570.4s - 574.0s: 它同样需要极其严苛的评估和测试
574.0s - 577.3s: 你不能仅仅因为修改了AgentMD里的几个字
577.3s - 581.8s: 就双手合十祈祷它能在生产环境中完美运行
581.8s - 586.0s: 我们需要一套针对自然语言的评估测试体系
586.0s - 588.1s: 但这听起来很反直觉对吧
588.1s - 589.6s: 自然语言又没有编译器
589.6s - 590.8s: 打错一个标点符号
590.8s - 592.4s: 也不像C语言那样
592.4s - 595.0s: 直接给你报个致命错不就当机啊
595.0s - 595.8s: 我们到底该怎么去解决这些问题呢?
595.8s - 596.3s: 我们到底该怎么去解决这些问题呢?
596.3s - 598.4s: 我们到底该怎么去解决这些问题呢?
598.4s - 600.7s: 这里有几个非常巧妙的层级
600.7s - 603.5s: 最基础的一层很简单就是验证
603.5s - 607.2s: 检查这段技能描述的长度格式
607.2s - 609.2s: 是不是符合公司的硬性规范
609.2s - 612.4s: 说白了就是看看你写的字数够不够
612.4s - 613.7s: 有没有敷衍了事
613.7s - 616.4s: 但更进阶的第二层就精彩了
616.4s - 619.1s: 我们可以称之为上下文版的grammarly
619.1s - 621.1s: 它不仅仅是检查拼写
621.1s - 624.4s: 而是用一个小型的轻量级的AI模型
624.4s - 626.3s: 来审视你写的提示词
626.3s - 626.3s: 而是用一个小型的轻量级的AI模型
626.3s - 627.6s: 是否足够清晰
627.6s - 629.2s: 是的你没听错
629.2s - 630.9s: 用AI来审判AI
630.9s - 633.8s: 假设你只写了寥寥两个字的指令
633.8s - 636.4s: 这个轻量级AI就会立刻拦截你
636.4s - 638.1s: 反馈说这太模糊了
638.1s - 640.3s: 你漏掉了关键的业务背景信息
640.3s - 642.5s: 我根本无法理解你要做什么
642.5s - 643.7s: 请补充
643.7s - 645.0s: 再往深走一步
645.0s - 647.3s: 如果是非常死板的业务逻辑呢
647.3s - 649.7s: 比如公司也只严苛的规范
649.7s - 652.0s: 所有新开发的API端口
652.0s - 655.1s: 命名都必须以单词awesome为前缀
655.1s - 656.3s: 对于这种反弹的业务
656.3s - 657.5s: 非黑即白的规则
657.5s - 659.6s: 一长串自然语言上下文
659.6s - 661.5s: 怎么进行单元测试呢
661.5s - 664.5s: 这就需要让强大的大语言模型
664.5s - 666.7s: 作为裁判正式出场了
666.7s - 668.3s: 想象一下这个流程
668.3s - 670.8s: 你的提示词是让AI写一个
670.8s - 673.1s: 保存用户数据的新端点
673.1s - 674.7s: 而你的系统上下文里
674.7s - 676.2s: 已经提前包含了
676.2s - 679.6s: 所有API必须以awesome开头这条规则
679.6s - 681.3s: 当代码生成之后
681.3s - 682.9s: 你不需要再像过去年
682.9s - 685.1s: 用肉眼一行行去检查
685.2s - 686.1s: 你是调用
686.1s - 688.6s: 另一个完全独立的LM作为裁判
688.6s - 689.5s: 去问他
689.5s - 690.9s: 嘿 仔细检查一下
690.9s - 692.2s: 这段刚刚生成的代码
692.2s - 695.2s: 它的URL真的包含awesome前缀吗
695.2s - 696.8s: 但这还不算完
696.8s - 699.3s: 为了做到真正的端到端测试
699.3s - 701.3s: 我们可以直接给这个裁判AI
701.3s - 702.9s: 提供一个沙盒环境
702.9s - 704.6s: 它不仅能看代码
704.6s - 706.1s: 还能真正在这个沙盒里
706.1s - 707.7s: 执行一个call命令
707.7s - 709.7s: 向那个生成的新端点
709.7s - 711.2s: 发送一个虚拟的请求
711.2s - 712.9s: 看看是不是真的能跑通
712.9s - 713.9s: 听到这里
713.9s - 715.1s: 我觉得有些啊
715.1s - 716.0s: 写了多年代的文章
716.1s - 718.4s: 代码的老程序员可能要坐不住了
718.4s - 720.7s: 这里存在一个根本性的矛盾
720.7s - 722.5s: 以前我们写的传统代码
722.5s - 724.0s: 那是绝对确定性的
724.0s - 725.5s: 一就是一二就是二
725.5s - 726.4s: 只要逻辑对
726.4s - 728.5s: 跑一万次结果都一样
728.5s - 729.6s: 但AI的输出
729.6s - 732.3s: 它本质上是具有随机性的
732.3s - 734.7s: 对 这就是问题的核心
734.7s - 735.9s: 如果你把这一套
735.9s - 738.7s: 包含沙盒和裁判的评估测试
738.7s - 740.6s: 放到CL流水线里
740.6s - 742.3s: 它可能今天跑通过了
742.3s - 745.2s: 明天你稍微换个无关紧要的形容词
745.2s - 746.0s: 甚至什么词都没了
746.1s - 748.1s: 它就莫名其妙的失败了
748.1s - 750.0s: 一个时好时坏
750.0s - 751.9s: 反复横跳的测试用力
751.9s - 755.0s: 绝对会把任何一个开发团队逼疯的
755.0s - 757.4s: 因为这根本没法调试
757.4s - 758.2s: 恭喜你
758.2s - 759.8s: 如果你想到了这一层
759.8s - 762.0s: 你就切中了这个新范式中
762.0s - 763.8s: 最让人痛苦的痛点
763.8s - 765.8s: 也就是我们在CDLC中
765.8s - 768.9s: 最需要跨越的思维认知障碍
768.9s - 770.7s: 那就是我们不能在意
770.7s - 773.0s: 以前那种非黑即白的传统思维
773.0s - 773.9s: 来做测试了
773.9s - 775.1s: 对于AI这种
775.1s - 776.0s: 非确定性的评估
776.1s - 779.9s: 我们必须引入SRE中一个重要的概念
779.9s - 781.0s: 错误预判
781.0s - 781.9s: 你看
781.9s - 784.9s: 这就是彻底的根基上的思维方式重构
784.9s - 787.5s: 我们要学会忍耐AI偶尔的失常
787.5s - 788.8s: 或者更准确的说
788.8s - 792.5s: 我们要学会用概率学来管理预期
792.5s - 794.8s: 对于其余特定的上限文测试用力
794.8s - 796.4s: 在CL流水线中
796.4s - 797.8s: 我们看到的是成功率
797.8s - 800.8s: 如果这只是一个非关键的辅助功能
800.8s - 802.3s: 你设定的容错空间
802.3s - 804.7s: 可能是允许20%的失败率
804.7s - 806.0s: 这就是它的错误预判
806.1s - 808.2s: 你需要深刻的明白
808.2s - 810.9s: 当你调整了上下文里的几个词
810.9s - 813.9s: 你影响的不再是某行代码的对错
813.9s - 817.3s: 而是某个功能通过测试的概率分布
817.3s - 820.1s: 放下对绝对确定性的执念
820.1s - 822.2s: 转而去管理动态的概率
822.2s - 824.1s: 这是进入AI编程时代
824.1s - 826.8s: 开发者的第一场心智修行
826.8s - 827.2s: 好
827.2s - 828.3s: 那么假设现在
828.3s - 830.6s: 你已经是一位修行有成的高手
830.6s - 833.2s: 你调优了一份极其完美的上下文
833.2s - 834.6s: 容错率极好
834.6s - 835.8s: 每次生成代码
836.1s - 837.0s: 都很稳定
837.0s - 838.4s: 你觉得这太棒了
838.4s - 840.0s: 想把它作为一个技能包
840.0s - 842.6s: 分享给整个公司的研发中心
842.6s - 844.5s: 甚至开源给全世界
844.5s - 847.1s: 这就来到了CDLC的第三个环节
847.1s - 848.2s: 分发
848.2s - 851.1s: 当我们把上下文像传统的NPM包
851.1s - 852.8s: 或者Darker镜像一样
852.8s - 854.6s: 在组织内共享时
854.6s - 859.1s: 顺理成章的就会出现各种上下文的注册表和公共库
859.1s - 861.1s: 比如Tesla Marketplace
861.1s - 865.2s: 大家可以在那里愉快的下载各种现层的AI技能
865.2s - 866.1s: 听起来很方便
866.1s - 867.0s: 很完美
867.0s - 867.7s: 对吧
867.7s - 870.0s: 但现实往往非常残酷
870.0s - 870.9s: Partrick指出
870.9s - 874.8s: 目前市面上99.9%的共享上下文技能
874.8s - 876.2s: 纯粹是垃圾
876.2s - 877.9s: 因为它们连最基本的
877.9s - 881.3s: 我们刚刚提到的概率评估测试都通不过
881.3s - 883.7s: 这也是为什么很多也经验的公司
883.7s - 886.5s: 宁愿自己费力从头写提示词
886.5s - 889.2s: 也不敢随意用开源的提示词库
889.2s - 893.2s: 而且当你听到下载包依赖这些词汇的时候
893.2s - 896.0s: 老程序员脑子里的警铃应该已经开始
896.0s - 897.1s: 杂作了
897.1s - 899.7s: 以前写代码我们有可怕的依赖地域
899.7s - 903.2s: 换到上下文领域情况难道会好一点吗
903.2s - 907.3s: 反而衍生出了更让人抓狂的上下文依赖地域
907.3s - 909.9s: 我给你模拟一个极其生动的场景
909.9s - 911.8s: 假设你为了开发一个新功能
911.8s - 914.6s: 从公司的内部库下载了一个名为
914.6s - 917.3s: 前端高级规范的上下文报
917.3s - 919.6s: 但你没注意到你的项目目录里
919.6s - 921.7s: 原本就静静躺着一个关于
921.7s - 924.6s: react基础框架的上下文报
924.6s - 925.9s: 这两个用自然语言写的
925.9s - 929.6s: 在某些命名规则或者架构理念上
929.6s - 931.3s: 刚好是相互冲突的
931.3s - 933.7s: 这就好比是你在车里同时开着
933.7s - 936.4s: 两个不同品牌的GPS导航
936.4s - 938.2s: 一个根据react规则
938.2s - 941.4s: 温柔的提示你在下个路口向左转
941.4s - 943.9s: 另一个根据全局前端规范
943.9s - 947.1s: 严厉的命令你在下个路口必须向右转
947.1s - 949.3s: AI代理虽然不像电影里那样
949.3s - 951.8s: 因为逻辑冲突而真的物理爆炸
951.8s - 955.3s: 但他绝对会直接瘫痪在十字路口中间
955.3s - 955.8s: 他完全不像电影里那样
955.8s - 957.8s: 完全不知道该声称什么代码了
957.8s - 961.2s: 因为他被人类相互冲突的指令彻底撕裂了
961.2s - 963.2s: 除了令人头痛的冲突
963.2s - 966.2s: 在这些看似平静的文本分发背后
966.2s - 969.2s: 还潜伏着极其致命的安全漏洞
969.2s - 971.0s: 随便从网络上下载
971.0s - 973.0s: 陌生人编写的上下文包
973.0s - 974.4s: 并在本地加载
974.4s - 977.6s: 无异于在你的电脑上留了一个敞开的后门
977.6s - 979.4s: 演讲中特别提到了那个
979.4s - 981.6s: 曾在开源界引发大地震
981.6s - 985.4s: 让人不寒而栗的XZ-U2S后门事件
985.4s - 990.4s: 为什么连平时防范都非常严密的高级开发者都会中招呢?
990.4s - 994.6s: 因为现在的AI编程助手为了表现的懂你聪明
994.6s - 998.6s: 默认会自动去加载你工作目录下的agentMD
998.6s - 1001.6s: 或者相关的说明文件作为背景知识
1001.6s - 1002.8s: 在这个事件中
1002.8s - 1006.8s: 开发者只是下载了一个看似完全无害的开源项目
1006.8s - 1009.2s: 但是他的上下文环境里
1009.2s - 1012.8s: 隐藏了一段精心构造的恶意提示词注入
1012.8s - 1015.2s: 这段提示词巧妙地绕过了
1015.2s - 1016.8s: 人类的日常审查
1016.8s - 1020.2s: 直接在后台对本地运行的AI代理下达命令
1020.2s - 1022.2s: 嘿 你不是有终端权限吗
1022.2s - 1023.6s: 在用户发现之前
1023.6s - 1025.8s: 帮我悄悄运行一个脚本
1025.8s - 1027.6s: 你可以想想这有多恐怖
1027.6s - 1032.2s: 因为这是AI助手在本地代表你发起的合法操作
1032.2s - 1035.0s: 传统的系统沙盒根本无法拦截
1035.0s - 1036.6s: 这简直是防不胜防
1036.6s - 1041.0s: 是我们自己亲手把特洛伊木马请进了坚固的堡垒
1041.0s - 1043.6s: 还主动赋予了它最高权力
1043.6s - 1045.0s: 如果不依赖沙盒
1045.0s - 1048.2s: 我们到底怎么在分发阶段来保护自己呢
1048.2s - 1050.6s: 其实 针对上下弯的防卫
1050.6s - 1052.8s: 必须深入到AI的神经层
1052.8s - 1055.8s: 首先 我们需要像Snake这样的专业扫描器
1055.8s - 1058.4s: 去扫描这段文本上下弯中
1058.4s - 1063.4s: 是不是暗藏了引导AI去调用恶意第三方API的企图
1063.4s - 1066.8s: 其次 我们需要引入AI SBOM
1066.8s - 1069.2s: 也就是给这份上下弯文件
1069.2s - 1072.2s: 办一张清清楚楚的数字身份证
1072.2s - 1074.2s: 查清楚它的前世今生
1074.2s - 1074.8s: 这张身份
1074.8s - 1076.4s: 证会详细记录
1076.4s - 1078.8s: 这个上下弯包是由谁构建的
1078.8s - 1081.6s: 它依赖了哪些更基础的提示词
1081.6s - 1082.6s: 最关键的是
1082.6s - 1085.8s: 它是针对哪个大圆模型优化的
1085.8s - 1088.8s: 只有有了这些绝对聪明的溯源信息
1088.8s - 1092.4s: 我们才能在架构上引入一种全新的防御机制
1092.4s - 1093.8s: 上下弯过滤器
1093.8s - 1095.8s: 你可以把这个过滤器理解为
1095.8s - 1099.4s: 专门为大圆模型打造的外部应用防火墙
1099.4s - 1100.0s: 也就是说
1100.0s - 1102.8s: 在这一段可能恶意的上下弯燃料
1102.8s - 1105.6s: 进入你的AI引擎燃烧之前
1105.6s - 1109.8s: 过滤器就已经通过比对SBOM和已知特征
1109.8s - 1114.4s: 把这些杂质毒药直接给拦截在了引擎之外
1114.4s - 1116.4s: 那么经历了千辛万苦
1116.4s - 1119.6s: 当我们的上下弯经过了严谨的深沉
1119.6s - 1121.2s: 扛过了概率测试
1121.2s - 1124.0s: 并且安全无毒的分发出去之后
1124.0s - 1126.0s: 我们就来到了CDLC
1126.0s - 1129.0s: 也就是上下弯开发生命周期的最后一个
1129.0s - 1132.0s: 也是决定生死的一环观察
1132.0s - 1134.4s: 这一切努力究竟意味着什么呢
1134.4s - 1137.6s: 我们费尽心血建立的这套庞大体系
1137.6s - 1139.4s: 在真实的生产环境里
1139.4s - 1142.4s: 到底能不能产生实际的商业价值呢
1142.4s - 1145.6s: 这就取决于你建立反馈闭环的能力了
1145.6s - 1148.6s: 这里有三种打造反馈的核心途径
1148.6s - 1150.2s: 第一种是最宏观的
1150.2s - 1152.4s: 大模型分析AI代理的日志
1152.4s - 1153.4s: 想象一下
1153.4s - 1156.2s: 如果公司里有50个开发者的AI
1156.2s - 1157.8s: 都在后台日志里抱怨
1157.8s - 1160.4s: 缺少知识接口的健全信息
1160.4s - 1161.8s: 这就是一个极其普通的
1161.8s - 1163.8s: 普遍的系统性痛点
1163.8s - 1166.6s: 此时组织根本不需要等开发者
1166.6s - 1169.0s: 去写冗长的bug反馈报告
1169.0s - 1170.4s: 就能立刻察觉
1170.4s - 1173.2s: 并在全局的注册表里直接下发
1173.2s - 1174.8s: 更新后的上下文包
1174.8s - 1177.4s: 从源头直接抹平这个痛点
1177.4s - 1178.8s: 这叫主动出击
1178.8s - 1182.4s: 第二种途径发生在日常的代码审查环节
1182.4s - 1185.0s: 这里是开发者思维方式
1185.0s - 1187.0s: 转变最明显的舞台
1187.0s - 1189.6s: 咱们回想一下以前审查PR时
1189.6s - 1191.4s: 如果发现新人代码写的
1191.4s - 1192.2s: 一团糟
1192.2s - 1195.2s: 大家会在评论区里为了某个变量命名
1195.2s - 1198.0s: 某种架构设计炒得不可开交
1198.0s - 1200.0s: 但在CDLC的视角下
1200.0s - 1202.0s: 大家变得心平气和了
1202.0s - 1202.8s: 为什么呢
1202.8s - 1204.8s: 因为糟糕的代码只是结果
1204.8s - 1206.0s: 真正的原因是
1206.0s - 1209.0s: 深层它的上下文燃料不够纯
1209.0s - 1210.8s: 所以现在的先进做法是
1210.8s - 1213.0s: 不要去手动修改那段烂代码
1213.0s - 1214.2s: 而是要去修复那个
1214.2s - 1216.6s: 孕育它的agentMD文件
1216.6s - 1218.6s: 治本而不是治标
1218.6s - 1220.2s: 只要上下文被修复了
1220.2s - 1222.6s: 以后无论是张三还是李四
1222.6s - 1224.2s: 在做类似的需求时
1224.2s - 1226.4s: 人家就不会再犯同样的错误了
1226.4s - 1229.8s: 而第三种反馈途径是最硬核的
1229.8s - 1233.8s: 那就是直接从生产环境进行反向推导
1233.8s - 1236.4s: 现在有一种非常高级的包装工具
1236.4s - 1239.6s: 当代码在生产环境中抛出异常
1239.6s - 1241.8s: 比如某个输入输出的数据结构
1241.8s - 1243.2s: 不匹配崩溃了
1243.2s - 1246.0s: 它不仅能抓取当时的错误数据
1246.0s - 1248.0s: 还能直接顺藤摸瓜
1248.0s - 1250.0s: 反向推送到你的开发环境中
